customer_id,name,age,gender,city,signup_date
C0001,AYESHA,19,FEMALE,rawalpindi,2023-04-03
C0002,hassan ,24,MALE,Sialkot,2024-05-14
C0003,Sara ,19,Male,Rawalpindi,2023-04-22
C0004,Shayan,56,male,swabi,2023-02-12
C0005, Muneeb,44,Male,Quetta,2025-04-21
C0006,Bilal ,18,MALE,multan,2023-11-28
C0007,bilal ,27,Male,faisalabad,2022-07-29
C0008,,42,MALE,faisalabad,2023-12-06
C0009,Bilal,20,Female,swabi,2022/09/13
C0010, Omar,23,Female,Sialkot,2024-01-11
C0011,usman ,72,Male,Lahore,2025-09-16
C0012,zainab,36,male,RAWALPINDI,2022-07-26
C0013,Omar ,35,Female,Faisalabad,2022/11/30
C0014, Mariam ,40,MALE,Peshawar,2025-12-08
C0015, Ahmed,56,MALE,Swabi,2023-05-17
C0016, FATIMA ,47,FEMALE,peshawar,2025-08-03
C0017, Muneeb,32,FEMALE,lahore,2023-04-15
C0018,Sara,38,Female,Peshawar,2022-05-16
C0019,usman ,54,Female,RAWALPINDI,2025/09/04
C0020,Sana ,43,female,islamabad,2023-06-27
C0021,Hassan,33,Female,Sialkot,2024-05-27
C0022,omar ,41,male,ISLAMABAD,2024-11-09
C0023, Sana ,23,Male,KARACHI,2022-11-10
C0024,Fatima,17,Female,SIALKOT,2022-05-11
C0025, Omar ,42,FEMALE,SWABI,2023-05-30
C0026, Muneeb,18,male,Swabi,2023-07-01
C0027,HAMZA ,25,female,Multan,2022-11-20
C0028, DANISH ,18,Female,SWABI,2023-01-01
C0029,SHAYAN ,24,Female,swabi,01/06/2025
C0030, usman,27,female,islamabad,2025-01-09
C0031,Shayan ,18,Female,Quetta,2022-02-09
C0032, ayesha,41,female,RAWALPINDI,2022-04-29
C0033,zainab,54,MALE,KARACHI,22/09/2024
C0034,Ahmed ,52,Male,Islamabad,2025-09-13
C0035,Sana,53,Male,Peshawar,2024-12-16
C0036, noor,31,Male,Peshawar,2024-03-28
C0037,Mariam,46,Female,Karachi,2023-05-23
C0038, ZAINAB ,22,Female,Lahore,2025-04-19
C0039,muneeb,32,Male,LAHORE,2022-05-26
C0040, sara ,32,male,Lahore,2023-11-08
C0041, Ahmed,50,Male,peshawar,2025-10-02
C0042, Sana,31,Male,SIALKOT,2025-03-26
C0043,sana ,33,Female,Multan,2023-01-25
C0044, Ayesha ,24,Female,FAISALABAD,2024/05/17
C0045,Noor ,47,Male,karachi,2022-05-05
C0046,omar ,99,female,karachi,2023-05-25
C0047, Usman,30,female,ISLAMABAD,2024-05-14
C0048,Fatima,35,female,Rawalpindi,2022-06-04
C0049, DANISH,53,Male,LAHORE,2025-08-28
C0050, Muneeb,18,Male,rawalpindi,2022-12-07
C0051,NOOR,150,FEMALE,Rawalpindi,2024-04-01
C0052, sara ,28,Female,Lahore,2024-03-10
C0053, bilal ,47,Female,Multan,2025-11-27
C0054,MUNEEB,60,female,ISLAMABAD,2023-01-24
C0055,Hira,31,MALE,sialkot,2025-01-15
C0056,sara ,38,Male,lahore,2025-04-11
C0057,SANA,50,MALE,LAHORE,2024-11-06
C0058,Ahmed,29,MALE,SIALKOT,2022-05-20
C0059,ZAINAB ,43,Male,sialkot,2023-05-20
C0060, sara ,57,male,multan,2025-09-08
C0061,,38,female,RAWALPINDI,2025-10-03
C0062,hamza,33,Female,MULTAN,2022-09-26
C0063,Hira,47,FEMALE,Karachi,2022-01-20
C0064,DANISH ,57,MALE,Karachi,2025-01-06
C0065,Usman,50,female,islamabad,2023-12-16
C0066,ahmed ,33,female,Peshawar,2022-11-20
C0067, Danish,52,female,SIALKOT,2025-09-01
C0068,Shayan ,18,FEMALE,Karachi,2022-10-03
C0069, Bilal,25,MALE,swabi,2022-11-15
C0070, bilal,36,male,Faisalabad,2023-02-21
C0071,Bilal ,50,female,Peshawar,2022-04-15
C0072,Ahmed ,58,FEMALE,PESHAWAR,2022/04/01
C0073,Ali ,39,Male,Peshawar,2022-11-27
C0074, DANISH ,53,FEMALE,Swabi,2022-01-20
C0075,AYESHA,22,Male,Swabi,2022-03-15
C0076,mariam ,55,Male,Multan,2022-09-19
C0077, Sara,37,FEMALE,LAHORE,2024-01-03
C0078, Usman,17,Male,KARACHI,2023-12-26
C0079,MUNEEB ,44,Male,Rawalpindi,2022-11-29
C0080,fatima,44,Male,Islamabad,2023-11-12
C0081,Noor,60,Male,Peshawar,2022-11-23
C0082,Ayesha,42,Male,quetta,2023-04-01
C0083, Usman,47,female,Peshawar,2023-04-12
C0084,Zainab ,19,Male,Multan,2023-11-04
C0085,Bilal ,22,Female,Faisalabad,2025-08-06
C0086,SHAYAN ,43,female,LAHORE,2022-08-25
C0087, bilal,29,FEMALE,Lahore,2022-08-11
C0088,Noor ,40,female,MULTAN,2025-05-26
C0089, Shayan,25,FEMALE,sialkot,2023-01-25
C0090, Bilal,20,FEMALE,LAHORE,2024-11-30
C0091,MUNEEB,17,male,faisalabad,2024-06-02
C0092,Ahmed ,60,Female,sialkot,2023-10-05
C0093,Ayesha ,99,FEMALE,Swabi,2023-09-26
C0094, Noor ,38,female,Peshawar,2025-02-09
C0095,Hassan,30,Female,Multan,2025-10-19
C0096, fatima,57,FEMALE,Multan,2025-01-27
C0097,ALI,37,Female,rawalpindi,2024-05-30
C0098,,47,Female,Quetta,2025/10/15
C0099, Usman ,50,female,ISLAMABAD,09-11-2025
C0100,AHMED,36,Female,Karachi,2023-04-27
C0101,Hira,32,male,islamabad,2022-02-20
C0102, sara ,33,FEMALE,sialkot,2022-05-30
C0103,danish,44,Male,MULTAN,2024-10-09
C0104,OMAR,33,Male,Lahore,2022-08-07
C0105, Noor ,0,Male,,2024-08-09
C0106, Sara ,53,Male,Karachi,2024-07-23
C0107,,47,FEMALE,Quetta,2025-06-08
C0108, SHAYAN,45,Female,Islamabad,2024-08-30
C0109,,34,Male,PESHAWAR,2024-12-03
C0110, Sana ,58,MALE,Peshawar,2024-06-19
C0111,ahmed ,72,female,Rawalpindi,2023-07-11
C0112,,38,Male,Islamabad,2022-11-05
C0113,Zainab ,42,male,rawalpindi,2022-05-12
C0114,noor ,44,FEMALE,swabi,2024-08-12
C0115, Noor,21,male,Multan,2024-03-08
C0116,Ali,54,female,quetta,2022-01-13
C0117, Mariam ,37,FEMALE,Multan,2025-01-07
C0118, Muneeb,56,Male,Quetta,2023-03-26
C0119,Bilal,45,female,lahore,2024-03-07
C0120, HAMZA ,60,Female,islamabad,2024-08-15
C0121,hassan,57,male,multan,2025-04-27
C0122, Ali ,23,female,Islamabad,2024-08-03
C0123,Fatima ,21,Female,,2023/11/02
C0124, usman ,47,Female,FAISALABAD,2024-02-16
C0125, Bilal ,44,Female,,2024-08-21
C0126, ali,52,Male,Faisalabad,2023-04-05
C0127, Ahmed,59,MALE,LAHORE,2023-05-22
C0128, USMAN,19,MALE,Rawalpindi,2022-09-16
C0129,SANA ,60,male,Sialkot,2023-03-23
C0130,danish ,16,female,Faisalabad,2022-12-10
C0131, AYESHA ,28,FEMALE,Karachi,2025-03-31
C0132, ali,37,Female,MULTAN,2023-02-11
C0133,AHMED ,55,MALE,KARACHI,2025-11-28
C0134,Hira ,17,Male,,2022-03-26
C0135, Mariam ,52,female,faisalabad,2022-05-22
C0136, SHAYAN ,59,Female,LAHORE,2024-05-10
C0137,Sana,24,female,FAISALABAD,2025-07-25
C0138,DANISH,72,MALE,Multan,2022-12-27
C0139, Shayan ,59,Female,SIALKOT,2025-01-07
C0140,SANA,47,FEMALE,sialkot,2023-07-04
C0141,Hamza ,33,Male,PESHAWAR,2024-07-12
C0142, Zainab ,47,FEMALE,Faisalabad,2022-02-28
C0143, Sana ,38,Male,quetta,2023-03-11
C0144, MARIAM,34,FEMALE,Peshawar,2025-05-05
C0145,Bilal ,53,male,,2023-01-27
C0146,Ahmed ,33,female,Quetta,2025-02-11
C0147, zainab,16,Female,quetta,2024-07-06
C0148,ALI,23,female,rawalpindi,2024-04-08
C0149, zainab ,37,Female,QUETTA,2025-02-07
C0150,SHAYAN,40,Female,swabi,2023-11-09
C0151,Mariam ,16,Female,Peshawar,2023-09-20
C0152,Bilal,32,MALE,Rawalpindi,2023-10-09
C0153,ayesha ,52,male,Rawalpindi,2023-03-20
C0154, Sana ,35,female,karachi,2023-02-02
C0155, Hira ,32,FEMALE,islamabad,2023-09-12
C0156,,72,MALE,PESHAWAR,2022-04-04
C0157, Sara ,53,FEMALE,Islamabad,2025-07-30
C0158, sana,24,MALE,,08-06-2023
C0159, Sana,48,female,FAISALABAD,2023-01-13
C0160, Sara,34,Female,Karachi,2022-05-14
C0161, OMAR ,-5,Male,SIALKOT,2025-07-13
